Namespace,Code,Interaction,Communication,Process,Effort,,,,,,,,,,,,,,,,,,,
AudioManager,"    private void Start()
    {
        playerGameSettings = PlayerGameSettings.Instance;
        StartCoroutine(CheckUserSettingsOnStart());
    }",0.00,0.00,1.00,0.02,,,,,,,,,,,,,,,,,,,
AudioManager,"    private IEnumerator CheckUserSettingsOnStart()
    {
        while (!playerGameSettings.CheckIsSettingsLoaded())
        {
            yield return new WaitForSeconds(1);
        }
        var settings = playerGameSettings.GetAllSettings();

        if (settings.ContainsKey(""_music""))
        {
            var shouldPlayMusic = settings[""_music""];
            if (shouldPlayMusic)
            {
                Play_defaultGameTheme();
            }
            else
            {
                Stop_defaultGameTheme();
            }
        }
    }",0.00,0.00,9.00,1.00,,,,,,,,,,,,,,,,,,,
AudioManager,"public void Play_defaultGameTheme()
    {
        defaultGameTheme.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Stop_defaultGameTheme()
    {
        defaultGameTheme.Stop();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_defaultButtonClick()
    {
        defaultButtonClick.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_inGameNotification()
    {
        inGameNotification.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_errorAudio()
    {
        errorAudio.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_buildingClicked()
    {
        buildingClicked.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_buildingMenuPopups()
    {
        buildingMenuPopups.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_battery()
    {
        battery.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_cement()
    {
        cement.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_chemical()
    {
        chemical.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_cleaning()
    {
        cleaning.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_electronic()
    {
        electronic.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_factory()
    {
        factory.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_firedept()
    {
        firedept.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_house()
    {
        house.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_mechanical()
    {
        mechanical.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_park()
    {
        park.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_police()
    {
        police.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_research()
    {
        research.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
